channel_name,handle,profile_url,subscriber_count,found_in_query
University of Minnesota Men's Club Volleyball,,https://www.youtube.com/results?search_query=University+of+Minnesota+Men's+Club+Volleyball,2.03K,Minnesota university
PHS Activities Broadcasting,,https://www.youtube.com/results?search_query=PHS+Activities+Broadcasting,2.03K,Minnesota winter activities
nicholassheets1,@nicholassheets1,https://www.youtube.com/results?search_query=nicholassheets1,2.03K,Minnesota Thanksgiving
Lincoln Park Patrol Duluth MN,,https://www.youtube.com/results?search_query=Lincoln+Park+Patrol+Duluth+MN,2.03K,Duluth Minnesota
Stark Wx,,https://www.youtube.com/results?search_query=Stark+Wx,2.03K,Minnesota tornado
okuapemman mn,,https://www.youtube.com/results?search_query=okuapemman+mn,2.03K,Minnesota celebration
Minnesota Mavericks,,https://www.youtube.com/results?search_query=Minnesota+Mavericks,2.03K,Minnesota ice skating
UMN Stress Lab,,https://www.youtube.com/results?search_query=UMN+Stress+Lab,2.03K,Minnesota medical school
East Central Schools,,https://www.youtube.com/results?search_query=East+Central+Schools,2.03K,Minnesota winter activities
ProMusica Minnesota - Topic,,https://www.youtube.com/results?search_query=ProMusica+Minnesota+-+Topic,2.02K,Minnesota
Minnesota Association of Health Underwriters,,https://www.youtube.com/results?search_query=Minnesota+Association+of+Health+Underwriters,2.02K,Minnesota health
University of St. Thomas | Minnesota,,https://www.youtube.com/results?search_query=University+of+St.+Thomas+|+Minnesota,2.02K,University of Minnesota
University of Minnesota College of Design,,https://www.youtube.com/results?search_query=University+of+Minnesota+College+of+Design,2.02K,Minnesota college
MnROAD Research,,https://www.youtube.com/results?search_query=MnROAD+Research,2.02K,Minnesota research
🧩🪘Percussion On The Spectrum,,https://www.youtube.com/results?search_query=🧩🪘Percussion+On+The+Spectrum,2.02K,Minnesota music teacher
Midwest ATV Trail Riders,,https://www.youtube.com/results?search_query=Midwest+ATV+Trail+Riders,2.02K,Minnesota side by side
"$4,499.99",,"https://www.youtube.com/results?search_query=$4,499.99",2.02K,Minnesota pool
mnaflcio,,https://www.youtube.com/results?search_query=mnaflcio,2.02K,Minnesota director
